artnr;artnm;Leverancier;Artikelnr leverancier;Werkdruk (bar);2delig_1 - Huls;2delig_1 - Pilaar;2delig_1 - Persmaat (mm);2delig_1 - Schilmaat intern (mm);2delig_1 - Schilmaat extern (mm);2delig_2 - Huls;2delig_2 - Pilaar;2delig_2 - Persmaat (mm);2delig_2 - Schilmaat intern (mm);2delig_2 - Schilmaat extern (mm);1delig_1;1delig_1 - Persmaat (mm);1delig_1 - Insteekdiepte (mm);1delig_1 - Schilmaat intern (mm);1delig_1 - Schilmaat extern (mm);1delig_2;1delig_2 - Persmaat (mm);1delig_2 - Insteekdiepte (mm);1delig_2 - Schilmaat intern (mm);1delig_2 - Schilmaat extern (mm);1delig_3;1delig_3 - Persmaat (mm);1delig_3 - Insteekdiepte (mm);1delig_3 - Schilmaat intern (mm);1delig_3 - Schilmaat extern (mm)
0347-025;THERMOPLASTIC MEDIUM PRESSURE (5/32) DN04 W.P. 240 BAR;Parker;347-2.5;240;1411-04;4;;;;;;;;;;;;;;;;;;;;;;;
0347-03;THERMOPLASTIC MEDIUM PRESSURE (3/16) DN02 W.P. 210 BAR;Parker;347-3;210;17001-03;10;12,5;;;16001-03;10;;;;;;;;;;;;;;;;;;
0347-03D;THERMOPLASTIC MEDIUM PRESSURE (3/16) DN05 W.P. 215 BAR TWIN;Parker;0347-03D;215;17001-03;10;12,5;;;16001-03;10;;;;;;;;;;;;;;;;;;
0347-04;THERMOPLASTIC MEDIUM PRESSURE 6.3MM (1/4) DN06 R7 W.P. 215 B;Calseyde;R7-DN06-0662;215;17001-04;10;15,2;;;16001-04;10;;;;;;;;;;;;;;;;;;
0347-04D;THERMOPLASTIC MEDIUM PRESSURE (1/4) DN06 W.P. 215 BAR TWIN;Calseyde;R7D-DN06-0632;215;17001-04;10;15,2;;;16001-04;10;;;;;;;;;;;;;;;;;;
0347-04Q;THERMOPLASTIC MEDIUM PRESSURE (1/4) DN06 W.P. 215 BAR QUAT;Parker;0347-04Q;215;17001-04;10;15,2;;;16001-04;10;;;;;;;;;;;;;;;;;;
0347-05;THERMOPLASTIC MEDIUM PRESSURE (5/16) DN08 W.P. 190 BAR;Calseyde;R7-DN08-0663;190;17001-05;10;16,8;;;16001-05;10;;;;;;;;;;;;;;;;;;
0347-05D;THERMOPLASTIC MEDIUM PRESSURE (5/16) DN08 W.P. 190 BAR TWIN;Hansaflex;NYZ708;190;17001-05;10;16,8;;;16001-05;10;;;;;;;;;;;;;;;;;;
0347-06;THERMOPLASTIC MEDIUM PRESSURE 9.5MM (3/8) DN10 R7 W.P. 160 B;Calseyde;R7-DN10-0664;160;17001-06;10;18,9;;;16001-06;10;;;;;;;;;;;;;;;;;;
0347-06D;THERMOPLASTIC MEDIUM PRESSURE (3/8) DN10 W.P. 160 BAR TWIN;Hansaflex;NYZ710;160;17001-06;10;18,9;;;16001-06;10;;;;;;;;;;;;;;;;;;
0347-06D/LIN;THERMOPLASTIC LINDE HOSE (3/8) DN10 TWIN;TVH;TVH/2850586;;15001-06;10;;;;;;;;;;;;;;;;;;;;;;;
0347-08;THERMOPLASTIC MEDIUM PRESSURE 12.7MM (1/2) DN13 R7 W.P. 140;Calseyde;R7-DN12-0665;140;17001-08;10;23,7;;;16001-08;10;;;;;;;;;;;;;;;;;;
